Trained,Tested,Model,Accuracy,Precision,Recall,F1,C-Accuracy,C-Precision,C-Recall,C-F1,F-Accuracy,F-Precision,F-Recall,F-F1,T-Accuracy,T-Precision,T-Recall,T-F1,,,,,,,,,,
Opensar+Fusar,Opensarship,Fine-VGG,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Mix,Fine-VGG,68.06,52.18,68.06,58.76,95.14,100,95.14,97.51,0,0,0,0,1.45,100,1.45,2.86,,,,,,,,,,
Opensar+Mix,Fusar-ship,Fine-VGG,49.9,57.89,49.9,47.7,71.39,100,71.39,83.31,1.27,100,1.27,2.5,21.61,100,21.61,35.54,,,,,,,,,,
Opensar+Mix,Opensarship,Fine-VGG,40.45,60.06,40.45,41.71,31.32,100,31.32,47.7,15.18,100,15.18,26.36,68.9,100,68.9,81.59,,,,,,,,,,
Opensar+Mix,Mix,Fine-VGG,44.72,59.08,44.72,46.24,43.36,100,43.36,60.49,4.32,100,4.32,8.29,67.63,100,67.63,80.69,,,,,,,,,,
Opensar,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Fusar,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Fusar-ship,Resnet,67.06,44.97,67.06,53.84,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Opensarship,Resnet,72.97,53.24,72.97,61.56,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Mix,Resnet,71.23,50.74,71.23,59.26,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Fusar-ship,Fine-Resnet,67.02,44.97,67.02,53.82,99.94,100,99.94,99.97,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar,Opensarship,Fine-Resnet,72.71,60.94,72.71,61.89,99.32,100,99.32,99.66,0,0,0,0,0.96,100,0.96,1.9,,,,,,,,,,
Opensar,Mix,Fine-Resnet,70.94,55.69,70.94,59.38,99.39,100,99.39,99.7,0,0,0,0,0.72,100,0.72,1.44,,,,,,,,,,
Opensar+Fusar,Fusar-ship,Fine-Resnet,65.56,45.18,65.56,53.39,97.64,100,97.64,98.8,0,0,0,0,1.01,100,1.01,1.99,,,,,,,,,,
Opensar+Fusar,Opensarship,Fine-Resnet,25.11,6.3,25.11,10.08,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,,,,,
Opensar+Fusar,Mix,Fine-Resnet,36.7,52.68,36.7,34.57,26.1,100,26.1,41.39,0,0,0,0,91.06,100,91.06,95.32,,,,,,,,,,
Opensar+Mix,Fusar-ship,Fine-Resnet,65.48,45.72,65.48,53.67,97.28,100,97.28,98.62,0,0,0,0,3.02,100,3.02,5.85,,,,,,,,,,
Opensar+Mix,Opensarship,Fine-Resnet,72.93,53.23,72.93,61.55,99.95,100,99.95,99.98,0,0,0,0,0,0,0,0,,,,,,,,,,
Opensar+Mix,Mix,Fine-Resnet,70.56,50.75,70.56,59.03,99.06,100,99.06,99.53,0,0,0,0,0,0,0,0,,,,,,,,,,
